##### 4090 bigbench #####

Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-64,32,16,25623.912109375,21922.026872634888,4.470703125
switch-64,32,32,33626.15625,29395.259857177734,4.5546875
switch-64,32,64,53742.94140625,47817.73543357849,4.76171875
switch-64,48,8,24773.111328125,21695.395946502686,2.69140625
switch-64,48,16,33768.109375,29918.352603912354,2.712890625
switch-64,48,32,49832.890625,45038.946866989136,2.796875
switch-64,48,64,72618.140625,67386.09766960144,3.00390625

switch-128,64,16,28307.466796875,21722.08571434021,8.14453125
switch-128,64,32,41943.09765625,31127.64859199524,8.228515625
switch-128,64,64,58506.16015625,43750.694274902344,8.484375
switch-128,64,128,84368.703125,63672.66082763672,14.31640625
switch-128,96,16,42134.76953125,31264.25004005432,4.4921875
switch-128,96,32,68560.7265625,51438.57645988464,4.576171875
switch-128,96,64,95154.4921875,78298.41256141663,4.83203125
switch-128,96,128,142478.84375,118340.75450897217,10.6640625
switch-128,112,16,55854.38671875,42634.42397117615,2.734375
switch-128,112,32,88446.96875,69067.07215309143,2.818359375
switch-128,112,64,122622.5,103709.74707603455,3.07421875
switch-128,112,128,171097.125,146891.756772995,8.90625

switch-32,0,4,11936.525390625,10577.346563339233,4.431640625
switch-32,0,8,18257.986328125,14761.408805847168,4.443359375
switch-32,0,16,20210.896484375,17806.14995956421,4.46875
switch-32,0,32,25512.19921875,21997.88498878479,4.55078125
switch-32,8,4,15605.8193359375,13821.770668029785,3.552734375
switch-32,8,8,17068.73046875,14407.392978668213,3.564453125
switch-32,8,16,23695.328125,19936.087131500244,3.58984375
switch-32,8,32,32057.818359375,27604.334592819214,3.671875

switch-64,0,8,18228.009765625,15419.925212860107,8.1015625
switch-64,0,16,21219.62890625,18971.591234207153,8.123046875
switch-64,0,32,28107.4296875,24451.908349990845,8.20703125
switch-64,0,64,36528.6015625,31499.590158462524,8.4140625
switch-64,8,8,18151.78125,15793.704748153687,7.1640625
switch-64,8,16,18938.259765625,17291.908025741577,7.185546875
switch-64,8,32,28592.9296875,24839.57052230835,7.26953125
switch-64,8,64,33226.625,30167.26851463318,7.4765625
switch-64,16,8,17713.53515625,14644.56558227539,6.2265625
switch-64,16,16,22502.033203125,19011.49320602417,6.248046875
switch-64,16,32,27640.71875,24750.370502471924,6.33203125
switch-64,16,64,35890.74609375,31714.317798614502,6.5390625

switch-128,16,16,26283.958984375,21357.038736343384,13.76953125
switch-128,16,32,37375.546875,30727.778673171997,13.853515625
switch-128,16,64,48445.30078125,39697.6478099823,14.109375
switch-128,16,128,64926.80859375,51156.67271614075,19.94140625
switch-128,32,16,25635.125,20728.05118560791,11.89453125
switch-128,32,32,35541.9140625,28665.08388519287,11.978515625
switch-128,32,64,53887.140625,43793.62869262695,12.234375
switch-128,32,128,67982.5078125,52192.535400390625,18.06640625


Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-32,30,2,16040.5888671875,12598.122835159302,0.697265625
switch-32,30,4,22245.01171875,18144.78349685669,0.703125
switch-32,30,8,29785.78515625,24408.612966537476,0.71484375
switch-32,28,2,14974.5634765625,12054.255723953247,0.912109375
switch-32,28,4,21609.923828125,17320.014238357544,0.91796875
switch-32,28,8,30631.998046875,24450.152158737183,0.9296875
switch-32,24,2,15605.7314453125,12184.591054916382,1.361328125
switch-32,24,4,21490.58203125,16658.138751983643,1.3671875
switch-32,24,8,28242.234375,24006.694316864014,1.37890625
switch-32,16,2,13101.41796875,11314.332962036133,2.240234375
switch-32,16,4,15884.923828125,13556.052684783936,2.24609375
switch-32,16,8,26992.537109375,21706.466913223267,2.2578125
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-64,62,2,16773.205078125,14053.226709365845,0.701171875
switch-64,62,4,25141.669921875,21032.052755355835,0.70703125
switch-64,62,8,36345.86328125,31249.805212020874,0.720703125
switch-64,60,2,16133.8046875,13145.148038864136,0.916015625
switch-64,60,4,20583.708984375,17833.481788635254,0.921875
switch-64,60,8,30393.529296875,27463.727712631226,0.935546875
switch-64,56,2,14474.220703125,12587.124109268188,1.365234375
switch-64,56,4,20381.97265625,17544.471263885498,1.37109375
switch-64,56,8,29397.037109375,25664.140701293945,1.384765625
switch-64,48,2,13030.1318359375,10605.691909790039,2.244140625
switch-64,48,4,15979.779296875,14032.65404701233,2.25
switch-64,48,8,24018.734375,21788.990259170532,2.263671875
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-128,126,2,18213.49609375,14361.644983291626,0.705078125
switch-128,126,4,28144.892578125,22549.28708076477,0.7109375
switch-128,126,8,43393.8671875,34388.88096809387,0.724609375
switch-128,124,2,22376.439453125,17592.748165130615,0.919921875
switch-128,124,4,25441.30859375,19697.164297103882,0.92578125
switch-128,124,8,43290.87890625,32949.08046722412,0.939453125
switch-128,120,2,18864.30078125,14665.806293487549,1.369140625
switch-128,120,4,23634.94140625,19040.391445159912,1.375
switch-128,120,8,45908.69140625,33519.72270011902,1.388671875
switch-128,112,2,17848.08203125,13864.467144012451,2.248046875
switch-128,112,4,22859.333984375,18868.01314353943,2.25390625
switch-128,112,8,33866.21484375,25074.975728988647,2.267578125
##### 4090 bigbench #####




##### A40 wmt16 #####
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-32,30,2,6776.830078125,6120.110988616943,0.69140625
switch-32,30,4,8076.796875,7198.73571395874,0.6953125
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-32,30,2,7399.1484375,6667.640686035156,0.69140625
switch-32,30,4,7870.900390625,7010.369300842285,0.6953125
switch-32,28,2,6570.244140625,5993.85666847229,0.90625
switch-32,28,4,8555.1953125,7649.351596832275,0.91015625
switch-32,28,8,12025.7958984375,10185.604572296143,0.916015625
switch-32,24,2,7112.640625,6488.4033203125,1.35546875
switch-32,24,4,7854.85400390625,7093.578815460205,1.359375
switch-32,24,8,12130.7705078125,10299.405574798584,1.365234375
switch-32,24,16,14475.958984375,12418.513536453247,1.3828125
switch-32,16,2,6767.20556640625,6211.052417755127,2.234375
switch-32,16,4,9474.8486328125,8445.958137512207,2.23828125
switch-32,16,8,11519.0771484375,10028.382062911987,2.244140625
switch-32,16,16,14854.462890625,12663.700342178345,2.26171875
switch-32,16,32,20683.306640625,17160.08162498474,2.302734375
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-64,62,2,8099.38037109375,7524.345636367798,0.693359375
switch-64,62,4,10030.2470703125,9332.826852798462,0.697265625
switch-64,60,2,8015.23828125,7421.724319458008,0.908203125
switch-64,60,4,9616.8916015625,8997.664451599121,0.912109375
switch-64,60,8,15301.4755859375,14206.923007965088,0.91796875
switch-64,56,2,7832.1337890625,7221.629858016968,1.357421875
switch-64,56,4,9141.71484375,8624.347686767578,1.361328125
switch-64,56,8,15289.724609375,14182.475805282593,1.3671875
switch-64,56,16,20605.251953125,19169.633388519287,1.38671875
switch-64,48,2,7142.66015625,6751.298666000366,2.236328125
switch-64,48,4,9245.28515625,8658.559560775757,2.240234375
switch-64,48,8,12285.5341796875,11575.891017913818,2.24609375
switch-64,48,16,18887.7890625,17496.11735343933,2.265625
switch-64,48,32,27067.5703125,24952.828407287598,2.3046875
Switch,Offload Size,Batch Size,Elapsed Time,Forward Computation Time,GPU Mem(GB)
switch-128,126,2,7613.47119140625,6997.907876968384,0.697265625
switch-128,126,4,9341.3525390625,8413.08879852295,0.701171875
switch-128,124,2,8054.5986328125,7411.257266998291,0.912109375
switch-128,124,4,9305.224609375,8423.50721359253,0.916015625
switch-128,124,8,13834.8408203125,12280.005931854248,0.921875
switch-128,120,2,8143.2587890625,7419.083118438721,1.361328125
switch-128,120,4,9864.5263671875,8835.015296936035,1.365234375
switch-128,120,8,13029.6015625,11680.216312408447,1.37109375
switch-128,120,16,19907.19140625,16946.35772705078,1.390625
switch-128,112,2,6608.2353515625,6155.26008605957,2.240234375
switch-128,112,4,8897.548828125,8072.26824760437,2.244140625
switch-128,112,8,12447.28515625,11143.426895141602,2.25
switch-128,112,16,18670.705078125,16007.901191711426,2.26953125
switch-128,112,32,28552.75390625,23518.574953079224,2.32421875

##### A40 wmt16 #####





##### A40 xsum #####
